amb	gen	rept	y
E1	C001	1	12.8
E1	C002	1	17.2
E1	C003	1	12.9
E1	C004	1	15.2
E1	C005	1	10.9
E1	C006	1	13.6
E1	C007	1	13.05
E1	C008	1	11.62
E1	C009	1	13.6
E1	C010	1	15.18
E1	C011	1	14.87
E1	C012	1	NA
E1	C013	1	14.58
E1	C014	1	10.5
E1	C015	1	NA
E1	C001	2	12.2
E1	C002	2	15.6
E1	C003	2	13.2
E1	C004	2	13.2
E1	C005	2	17.3
E1	C006	2	16.3
E1	C007	2	5.79
E1	C008	2	9.55
E1	C009	2	15
E1	C010	2	16.23
E1	C011	2	15.98
E1	C012	2	15.5
E1	C013	2	12.73
E1	C014	2	11
E1	C015	2	10.8
E1	C001	3	11.2
E1	C002	3	15.5
E1	C003	3	13.3
E1	C004	3	11.3
E1	C005	3	NA
E1	C006	3	13.3
E1	C007	3	10.03
E1	C008	3	11.84
E1	C009	3	12.7
E1	C010	3	15.06
E1	C011	3	17.95
E1	C012	3	14.6
E1	C013	3	12.35
E1	C014	3	13.2
E1	C015	3	13.9
E1	C001	4	13.1
E1	C002	4	NA
E1	C003	4	14
E1	C004	4	14.6
E1	C005	4	NA
E1	C006	4	14.2
E1	C007	4	13.53
E1	C008	4	10.35
E1	C009	4	15.9
E1	C010	4	15.41
E1	C011	4	15.72
E1	C012	4	NA
E1	C013	4	14.23
E1	C014	4	NA
E1	C015	4	9.5
E1	C001	5	13.6
E1	C002	5	15.3
E1	C003	5	15.4
E1	C004	5	NA
E1	C005	5	13.7
E1	C006	5	12.4
E1	C007	5	13.85
E1	C008	5	14.01
E1	C009	5	16
E1	C010	5	14.64
E1	C011	5	15.72
E1	C012	5	14.2
E1	C013	5	14.01
E1	C014	5	9.2
E1	C015	5	10.6
E1	C001	6	NA
E1	C002	6	14.3
E1	C003	6	16.2
E1	C004	6	13.8
E1	C005	6	10.1
E1	C006	6	11.7
E1	C007	6	NA
E1	C008	6	14.07
E1	C009	6	12.2
E1	C010	6	14.77
E1	C011	6	15.22
E1	C012	6	11.1
E1	C013	6	13.69
E1	C014	6	13.9
E1	C015	6	15
E1	C001	7	14.3
E1	C002	7	14.5
E1	C003	7	13.7
E1	C004	7	7
E1	C005	7	15.3
E1	C006	7	NA
E1	C007	7	13.31
E1	C008	7	11.52
E1	C009	7	NA
E1	C010	7	14.2
E1	C011	7	17
E1	C012	7	NA
E1	C013	7	14.01
E1	C014	7	12.4
E1	C015	7	NA
E1	C001	8	13.8
E1	C002	8	16
E1	C003	8	16.8
E1	C004	8	15.4
E1	C005	8	14.4
E1	C006	8	11.5
E1	C007	8	NA
E1	C008	8	7.48
E1	C009	8	NA
E1	C010	8	14.64
E1	C011	8	14.01
E1	C012	8	16
E1	C013	8	14.77
E1	C014	8	15.1
E1	C015	8	10.2
E1	C001	9	NA
E1	C002	9	14.8
E1	C003	9	NA
E1	C004	9	14.3
E1	C005	9	13.7
E1	C006	9	11
E1	C007	9	12.73
E1	C008	9	11.62
