linha	coluna	bloco	gen	test	var
1	1	1	NA	17	69.454302
2	1	1	14	1	43.558759
3	1	1	4	1	38.732496
4	1	1	9	1	11.949695
5	1	1	16	1	13.177074
6	1	1	13	1	16.034684
6	2	1	3	1	20.519759
5	2	1	7	1	4.981365
4	2	1	10	1	7.640522
3	2	1	11	1	23.576750
2	2	1	12	1	20.035672
1	2	1	1	1	21.823024
1	3	1	22	1	15.470809
2	3	1	6	1	19.477675
3	3	1	15	1	17.543185
4	3	1	NA	20	18.870453
5	3	1	18	1	28.418832
6	3	1	2	1	21.281323
6	4	1	21	1	13.475616
5	4	1	5	1	21.782752
4	4	1	8	1	19.251077
3	4	1	19	1	19.806960
2	4	2	21	1	6.269159
1	4	2	4	1	31.794038
1	5	2	2	1	27.186146
2	5	2	11	1	18.443772
3	5	2	8	1	18.999301
4	5	2	13	1	20.079142
5	5	2	9	1	15.544264
6	5	2	5	1	17.158674
6	6	2	14	1	30.064133
5	6	2	18	1	23.205804
4	6	2	7	1	9.852230
3	6	2	3	1	14.591974
2	6	2	10	1	6.562772
1	6	2	6	1	23.274450
1	7	2	16	1	14.581223
2	7	2	19	1	12.359310
3	7	2	15	1	12.243359
4	7	2	NA	20	19.129349
5	7	2	NA	17	18.938237
6	7	2	1	1	13.690461
6	8	2	22	1	11.373196
5	8	2	12	1	12.401463
4	8	3	22	1	10.853631
3	8	3	18	1	29.596701
2	8	3	8	1	3.230091
1	8	3	2	1	16.984860
1	9	3	19	1	7.453699
2	9	3	NA	17	13.643732
3	9	3	1	1	21.021752
4	9	3	NA	20	14.461885
5	9	3	13	1	14.866036
6	9	3	11	1	19.209703
6	10	3	10	1	14.603776
5	10	3	3	1	10.237404
4	10	3	21	1	13.076500
3	10	3	12	1	23.287468
2	10	3	5	1	12.764328
1	10	3	7	1	8.529712
1	11	3	16	1	24.870824
2	11	3	4	1	25.235482
3	11	3	6	1	32.883811
4	11	3	15	1	25.134267
5	11	3	14	1	25.089982
6	11	3	9	1	52.716413
