yield;Variety;Block;row;col;Row;Col
483;4;1;1;1;1;1
526;10;1;2;1;2;1
557;17;1;3;1;3;1
564;16;1;4;1;4;1
498;21;1;5;1;5;1
510;32;1;6;1;6;1
344;33;1;7;1;7;1
600;34;1;8;1;8;1
466;72;1;9;1;9;1
370;74;1;10;1;10;1
448;75;1;11;1;11;1
513;81;1;12;1;12;1
481;83;1;13;1;13;1
430;106;1;14;1;14;1
355;107;1;15;1;15;1
445;3;1;16;1;16;1
447;5;1;17;1;17;1
400;6;1;18;1;18;1
460;8;1;19;1;19;1
371;9;1;20;1;20;1
420;11;1;21;1;21;1
453;13;1;22;1;22;1
400;14;1;1;2;1;2
405;30;1;2;2;2;2
442;15;1;3;2;3;2
444;18;1;4;2;4;2
557;19;1;5;2;5;2
446;20;1;6;2;6;2
470;23;1;7;2;7;2
515;24;1;8;2;8;2
364;25;1;9;2;9;2
477;26;1;10;2;10;2
377;27;1;11;2;11;2
525;28;1;12;2;12;2
408;35;1;13;2;13;2
605;36;1;14;2;14;2
437;37;1;15;2;15;2
440;38;1;16;2;16;2
446;39;1;17;2;17;2
534;71;1;18;2;18;2
510;73;1;19;2;19;2
603;76;1;20;2;20;2
442;77;1;21;2;21;2
506;78;1;22;2;22;2
569;79;1;1;3;1;3
514;80;1;2;3;2;3
487;97;1;3;3;3;3
557;102;1;4;3;4;3
750;40;1;5;3;5;3
710;42;1;6;3;6;3
773;43;1;7;3;7;3
747;44;1;8;3;8;3
683;45;1;9;3;9;3
701;46;1;10;3;10;3
658;47;1;11;3;11;3
682;48;1;12;3;12;3
667;49;1;13;3;13;3
699;50;1;14;3;14;3
585;51;1;15;3;15;3
645;52;1;16;3;16;3
642;53;1;17;3;17;3
630;54;1;18;3;18;3
729;55;1;19;3;19;3
714;56;1;20;3;20;3
651;57;1;21;3;21;3
820;58;1;22;3;22;3
734;59;1;1;4;1;4
767;60;1;2;4;2;4
693;61;1;3;4;3;4
790;62;1;4;4;4;4
714;63;1;5;4;5;4
747;64;1;6;4;6;4
815;65;1;7;4;7;4
762;66;1;8;4;8;4
684;67;1;9;4;9;4
827;68;1;10;4;10;4
819;69;1;11;4;11;4
689;70;1;12;4;12;4
758;88;1;13;4;13;4
705;103;1;14;4;14;4
565;104;1;15;4;15;4
799;98;1;16;4;16;4
758;2;1;17;4;17;4
774;1;1;18;4;18;4
652;89;1;19;4;19;4
684;87;1;20;4;20;4
656;84;1;21;4;21;4
792;85;1;22;4;22;4
571;89;1;1;5;1;5
726;90;1;2;5;2;5
633;86;1;3;5;3;5
595;91;1;4;5;4;5
684;92;1;5;5;5;5
744;93;1;6;5;6;5
740;94;1;7;5;7;5
705;95;1;8;5;8;5
734;96;1;9;5;9;5
637;7;1;10;5;10;5
837;99;1;11;5;11;5
657;100;1;12;5;12;5
765;101;1;13;5;13;5
689;29;1;14;5;14;5
537;104;1;15;5;15;5
633;105;1;16;5;16;5
629;22;1;17;5;17;5
614;31;1;18;5;18;5
714;41;1;19;5;19;5
684;12;1;20;5;20;5
722;82;1;21;5;21;5
791;82;1;22;5;22;5
642;104;2;1;6;1;6
687;18;2;2;6;2;6
625;70;2;3;6;3;6
619;22;2;4;6;4;6
781;56;2;5;6;5;6
729;41;2;6;6;6;6
708;37;2;7;6;7;6
650;53;2;8;6;8;6
620;86;2;9;6;9;6
785;40;2;10;6;10;6
741;50;2;11;6;11;6
847;16;2;12;6;12;6
657;80;2;13;6;13;6
704;78;2;14;6;14;6
662;26;2;15;6;15;6
710;95;2;16;6;16;6
817;96;2;17;6;17;6
754;17;2;18;6;18;6
925;82;2;19;6;19;6
821;87;2;20;6;20;6
767;44;2;21;6;21;6
875;58;2;22;6;22;6
665;62;2;1;7;1;7
715;92;2;2;7;2;7
644;91;2;3;7;3;7
716;36;2;4;7;4;7
696;57;2;5;7;5;7
608;68;2;6;7;6;7
785;23;2;7;7;7;7
631;102;2;8;7;8;7
617;33;2;9;7;9;7
758;47;2;10;7;10;7
776;105;2;11;7;11;7
736;2;2;12;7;12;7
631;104;2;13;7;13;7
782;28;2;14;7;14;7
702;90;2;15;7;15;7
638;32;2;16;7;16;7
635;21;2;17;7;17;7
592;39;2;18;7;18;7
534;76;2;19;7;19;7
706;84;2;20;7;20;7
596;79;2;21;7;21;7
735;89;2;22;7;22;7
738;4;2;1;8;1;8
727;67;2;2;8;2;8
749;19;2;3;8;3;8
719;103;2;4;8;4;8
655;35;2;5;8;5;8
535;14;2;6;8;6;8
780;107;2;7;8;7;8
661;11;2;8;8;8;8
687;73;2;9;8;9;8
757;30;2;10;8;10;8
763;6;2;11;8;11;8
754;29;2;12;8;12;8
910;75;2;13;8;13;8
733;97;2;14;8;14;8
868;82;2;15;8;15;8
791;10;2;16;8;16;8
696;25;2;17;8;17;8
712;7;2;18;8;18;8
850;52;2;19;8;19;8
803;3;2;20;8;20;8
802;83;2;21;8;21;8
793;88;2;22;8;22;8
678;74;2;1;9;1;9
509;71;2;2;9;2;9
532;100;2;3;9;3;9
443;27;2;4;9;4;9
680;42;2;5;9;5;9
644;98;2;6;9;6;9
516;12;2;7;9;7;9
572;77;2;8;9;8;9
584;72;2;9;9;9;9
624;13;2;10;9;10;9
651;64;2;11;9;11;9
611;59;2;12;9;12;9
593;8;2;13;9;13;9
651;5;2;14;9;14;9
558;85;2;15;9;15;9
594;45;2;16;9;16;9
690;101;2;17;9;17;9
602;89;2;18;9;18;9
626;65;2;19;9;19;9
747;99;2;20;9;20;9
637;34;2;21;9;21;9
569;51;2;22;9;22;9
536;15;2;1;10;1;10
735;81;2;2;10;2;10
709;106;2;3;10;3;10
724;61;2;4;10;4;10
637;69;2;5;10;5;10
613;66;2;6;10;6;10
556;38;2;7;10;7;10
618;9;2;8;10;8;10
754;24;2;9;10;9;10
845;55;2;10;10;10;10
906;60;2;11;10;11;10
813;46;2;12;10;12;10
750;93;2;13;10;13;10
740;31;2;14;10;14;10
635;63;2;15;10;15;10
743;43;2;16;10;16;10
711;54;2;17;10;17;10
819;48;2;18;10;18;10
845;1;2;19;10;19;10
818;49;2;20;10;20;10
734;20;2;21;10;21;10
844;94;2;22;10;22;10
568;5;3;1;11;1;11
508;4;3;2;11;2;11
469;104;3;3;11;3;11
628;46;3;4;11;4;11
561;63;3;5;11;5;11
599;3;3;6;11;6;11
637;48;3;7;11;7;11
696;98;3;8;11;8;11
581;60;3;9;11;9;11
553;8;3;10;11;10;11
666;51;3;11;11;11;11
531;71;3;12;11;12;11
547;15;3;13;11;13;11
617;22;3;14;11;14;11
428;14;3;15;11;15;11
549;86;3;16;11;16;11
571;18;3;17;11;17;11
554;12;3;18;11;18;11
668;69;3;19;11;19;11
657;87;3;20;11;20;11
566;84;3;21;11;21;11
578;35;3;22;11;22;11
706;2;3;1;12;1;12
726;42;3;2;12;2;12
686;81;3;3;12;3;12
559;91;3;4;12;4;12
618;57;3;5;12;5;12
527;25;3;6;12;6;12
715;26;3;7;12;7;12
680;72;3;8;12;8;12
473;80;3;9;12;9;12
546;73;3;10;12;10;12
724;45;3;11;12;11;12
627;52;3;12;12;12;12
700;53;3;13;12;13;12
546;102;3;14;12;14;12
673;17;3;15;12;15;12
657;54;3;16;12;16;12
661;19;3;17;12;17;12
733;96;3;18;12;18;12
599;92;3;19;12;19;12
567;7;3;20;12;20;12
663;10;3;21;12;21;12
530;38;3;22;12;22;12
298;27;3;1;13;1;13
439;89;3;2;13;2;13
363;28;3;3;13;3;13
358;56;3;4;13;4;13
317;37;3;5;13;5;13
491;99;3;6;13;6;13
256;97;3;7;13;7;13
328;68;3;8;13;8;13
396;64;3;9;13;9;13
288;49;3;10;13;10;13
315;74;3;11;13;11;13
361;24;3;12;13;12;13
387;95;3;13;13;13;13
350;21;3;14;13;14;13
351;103;3;15;13;15;13
298;75;3;16;13;16;13
485;94;3;17;13;17;13
447;55;3;18;13;18;13
376;11;3;19;13;19;13
395;67;3;20;13;20;13
381;30;3;21;13;21;13
442;85;3;22;13;22;13
371;79;3;1;14;1;14
328;9;3;2;14;2;14
452;66;3;3;14;3;14
399;82;3;4;14;4;14
435;82;3;5;14;5;14
387;59;3;6;14;6;14
503;101;3;7;14;7;14
446;83;3;8;14;8;14
422;62;3;9;14;9;14
379;90;3;10;14;10;14
458;106;3;11;14;11;14
296;104;3;12;14;12;14
487;65;3;13;14;13;14
465;31;3;14;14;14;14
335;76;3;15;14;15;14
369;78;3;16;14;16;14
469;50;3;17;14;17;14
518;70;3;18;14;18;14
573;88;3;19;14;19;14
493;77;3;20;14;20;14
541;23;3;21;14;21;14
423;33;3;22;14;22;14
194;47;3;1;15;1;15
246;29;3;2;15;2;15
283;100;3;3;15;3;15
307;93;3;4;15;4;15
294;89;3;5;15;5;15
257;107;3;6;15;6;15
238;39;3;7;15;7;15
285;32;3;8;15;8;15
254;40;3;9;15;9;15
302;58;3;10;15;10;15
397;13;3;11;15;11;15
393;34;3;12;15;12;15
428;61;3;13;15;13;15
319;20;3;14;15;14;15
